OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species	Element
contig_1352	Bacteria	not classified	not classified	not classified	not classified	not classified	Terrabacteria group sp. cat1332	Terrabacteria group sp. cat1332
contig_385	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1298	dark_matter sp. cat1298
contig_1459	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_genetic element	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_genetic element_Genus_undefined	genetic element sp. ctJk7508	genetic element sp. ctJk7508
contig_2209	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	not classified	crAss-like viruses sp. cat2080	crAss-like viruses sp. cat2080
contig_1923	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella sp. CAG:933	Veillonella sp. CAG:933 sp. cat1836
contig_735	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctecV133
contig_2138	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctR8y259
contig_1805	not classified	not classified	not classified	not classified	not classified	not classified	not classified sp. cat1732	not classified sp. cat1732
contig_1576	Bacteria	Firmicutes	Clostridia	Clostridiales	not classified	not classified	Clostridiales sp. cat1529	Clostridiales sp. cat1529
contig_1594	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Myoviridae_undefined_genus	Myoviridae_undefined_genus_undefined_species	Myoviridae sp. ct70w656
contig_1527	Bacteria	Bacteria_undefined_phylum	Bacteria_undefined_phylum_undefined_class	Bacteria_undefined_phylum_undefined_class_undefined_order	Bacteria_undefined_phylum_undefined_class_undefined_order_undefined_family	Bacteria_undefined_phylum_undefined_class_undefined_order_undefined_family_undefined_genus	Parcubacteria group bacterium ADurb.Bin216	Parcubacteria group bacterium ADurb.Bin216 sp. cat1487
contig_1519	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Flammeovirga	Flammeovirga sp. SR4	Flammeovirga sp. SR4 sp. cat1479
contig_1696	Bacteria	Candidatus Melainabacteria	Candidatus Melainabacteria_undefined_class	Candidatus Gastranaerophilales	Candidatus Gastranaerophilales_undefined_family	Candidatus Gastranaerophilales_undefined_family_undefined_genus	Candidatus Gastranaerophilales bacterium HUM_20	Candidatus Gastranaerophilales bacterium HUM_20 sp. cat1628
contig_1633	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1118	dark_matter sp. cat1118
contig_979	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter baumannii	Acinetobacter baumannii sp. cat3016
contig_1735	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	Enterocloster lavalensis	Enterocloster lavalensis sp. cat1665
contig_1816	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Siphoviridae_undefined_genus	Siphoviridae_undefined_genus_undefined_species	Siphoviridae sp. cti7U903
contig_1580	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Podoviridae_undefined_genus	Podoviridae_undefined_genus_undefined_species	Podoviridae sp. ctVlG641
contig_905	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	not classified	not classified	Bacteroidales sp. cat2945	Bacteroidales sp. cat2945
contig_631	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified sp. cat2694	not classified sp. cat2694
contig_1678	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1135	dark_matter sp. cat1135
contig_654	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1331	dark_matter sp. cat1331
contig_1171	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Podoviridae_undefined_genus	CrAssphage sp.	CrAssphage sp. sp. cat1163
contig_521	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales_undefined_family	Rickettsiales_undefined_family_undefined_genus	Rickettsiales bacterium	Rickettsiales bacterium sp. cat2600
contig_1552	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1099	dark_matter sp. cat1099
contig_1479	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Flavonifractor	Flavonifractor plautii	Flavonifractor plautii sp. cat1440
contig_1272	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1045	dark_matter sp. cat1045
contig_566	Bacteria	Firmicutes	Firmicutes_undefined_class	Firmicutes_undefined_class_undefined_order	Firmicutes_undefined_class_undefined_order_undefined_family	Firmicutes_undefined_class_undefined_order_undefined_family_undefined_genus	Firmicutes bacterium CAG:882	Firmicutes bacterium CAG:882 sp. cat2639
contig_1340	Bacteria	Firmicutes	Clostridia	Clostridiales	not classified	not classified	Clostridiales sp. cat1319	Clostridiales sp. cat1319
contig_834	Bacteria	Firmicutes	not classified	not classified	not classified	not classified	Firmicutes sp. cat2880	Firmicutes sp. cat2880
contig_1997	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1201	dark_matter sp. cat1201
contig_438	Bacteria	Bacteroidetes	not classified	not classified	not classified	not classified	Bacteroidetes sp. cat2522	Bacteroidetes sp. cat2522
contig_2330	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Ceduovirus	Ceduovirus_undefined_species	Siphoviridae sp. cti1p469
contig_1930	Bacteria	Firmicutes	Clostridia	Clostridiales	not classified	not classified	Clostridiales sp. cat1843	Clostridiales sp. cat1843
contig_1575	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1105	dark_matter sp. cat1105
contig_1047	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	Erysipelatoclostridium ramosum	Erysipelatoclostridium ramosum sp. cat1045
contig_2253	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	Pseudomonas aeruginosa sp. cat2122
contig_1199	Bacteria	Firmicutes	Clostridia	Clostridiales	not classified	not classified	Clostridiales sp. cat1186	Clostridiales sp. cat1186
contig_1104	Bacteria	Firmicutes	Clostridia	Clostridiales	not classified	not classified	Clostridiales sp. cat1100	Clostridiales sp. cat1100
contig_2025	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium magnum	Clostridium magnum DSM 2767 sp. cat1930
